CustomerID,CustomerName,Gender,Country,Age
1,Customer_1,Male,UK,19
2,Customer_2,Female,Germany,33
3,Customer_3,Male,Canada,56
4,Customer_4,Male,UK,30
5,Customer_5,Male,India,54
6,Customer_6,Female,Germany,34
7,Customer_7,Male,Canada,38
8,Customer_8,Male,India,61
9,Customer_9,Male,India,36
10,Customer_10,Female,India,24
11,Customer_11,Male,India,55
12,Customer_12,Male,UK,25
13,Customer_13,Male,UK,30
14,Customer_14,Male,UK,54
15,Customer_15,Female,Canada,19
16,Customer_16,Male,Canada,58
17,Customer_17,Female,Canada,28
18,Customer_18,Female,USA,41
19,Customer_19,Female,Canada,23
20,Customer_20,Male,UK,43
21,Customer_21,Female,UK,24
22,Customer_22,Male,USA,56
23,Customer_23,Female,USA,36
24,Customer_24,Female,Canada,23
25,Customer_25,Female,Germany,60
26,Customer_26,Female,USA,46
27,Customer_27,Female,India,60
28,Customer_28,Female,UK,56
29,Customer_29,Female,India,19
30,Customer_30,Female,UK,36
31,Customer_31,Male,UK,21
32,Customer_32,Male,USA,23
33,Customer_33,Female,USA,54
34,Customer_34,Female,India,45
35,Customer_35,Female,UK,47
36,Customer_36,Male,India,24
37,Customer_37,Female,Germany,26
38,Customer_38,Male,India,42
39,Customer_39,Male,Canada,50
40,Customer_40,Male,India,18
41,Customer_41,Male,Canada,23
42,Customer_42,Male,Canada,35
43,Customer_43,Female,Canada,27
44,Customer_44,Female,Germany,45
45,Customer_45,Female,India,28
46,Customer_46,Female,India,50
47,Customer_47,Female,Germany,18
48,Customer_48,Male,UK,30
49,Customer_49,Female,USA,54
50,Customer_50,Female,India,37
51,Customer_51,Male,USA,18
52,Customer_52,Female,Germany,20
53,Customer_53,Male,UK,35
54,Customer_54,Female,UK,58
55,Customer_55,Male,UK,31
56,Customer_56,Female,Germany,48
57,Customer_57,Female,Canada,44
58,Customer_58,Male,Canada,34
59,Customer_59,Male,USA,63
60,Customer_60,Male,Canada,46
61,Customer_61,Male,Canada,53
62,Customer_62,Male,UK,54
63,Customer_63,Male,UK,43
64,Customer_64,Male,USA,34
65,Customer_65,Male,India,39
66,Customer_66,Female,USA,42
67,Customer_67,Female,USA,19
68,Customer_68,Male,Germany,39
69,Customer_69,Female,Germany,22
70,Customer_70,Female,USA,21
71,Customer_71,Female,USA,53
72,Customer_72,Female,USA,23
73,Customer_73,Male,Canada,38
74,Customer_74,Female,Germany,30
75,Customer_75,Male,USA,54
76,Customer_76,Female,UK,42
77,Customer_77,Female,UK,43
78,Customer_78,Female,Canada,56
79,Customer_79,Male,Canada,37
80,Customer_80,Female,India,50
81,Customer_81,Male,India,31
82,Customer_82,Female,India,53
83,Customer_83,Male,Canada,34
84,Customer_84,Female,Canada,38
85,Customer_85,Male,Canada,63
86,Customer_86,Male,UK,33
87,Customer_87,Female,Canada,63
88,Customer_88,Male,UK,33
89,Customer_89,Female,India,37
90,Customer_90,Female,India,46
91,Customer_91,Female,India,45
92,Customer_92,Female,USA,25
93,Customer_93,Female,USA,41
94,Customer_94,Female,Germany,20
95,Customer_95,Female,Germany,42
96,Customer_96,Female,Germany,36
97,Customer_97,Female,USA,50
98,Customer_98,Female,USA,19
99,Customer_99,Female,Germany,32
100,Customer_100,Male,Germany,39
101,Customer_101,Male,Canada,27
102,Customer_102,Female,Germany,35
103,Customer_103,Female,Canada,39
104,Customer_104,Female,UK,63
105,Customer_105,Female,USA,44
106,Customer_106,Female,Germany,30
107,Customer_107,Female,USA,50
108,Customer_108,Female,USA,22
109,Customer_109,Female,USA,43
110,Customer_110,Male,UK,30
111,Customer_111,Female,India,44
112,Customer_112,Male,Germany,31
113,Customer_113,Female,India,41
114,Customer_114,Female,India,20
115,Customer_115,Male,India,64
116,Customer_116,Female,USA,47
117,Customer_117,Male,Canada,52
118,Customer_118,Female,USA,31
119,Customer_119,Female,USA,29
120,Customer_120,Male,India,45
121,Customer_121,Female,USA,61
122,Customer_122,Male,India,46
123,Customer_123,Female,Canada,60
124,Customer_124,Male,Germany,34
125,Customer_125,Male,India,57
126,Customer_126,Female,Canada,38
127,Customer_127,Female,Germany,40
128,Customer_128,Male,UK,37
129,Customer_129,Female,India,28
130,Customer_130,Female,India,51
131,Customer_131,Female,UK,27
132,Customer_132,Male,UK,27
133,Customer_133,Male,India,60
134,Customer_134,Male,UK,23
135,Customer_135,Male,USA,53
136,Customer_136,Male,Germany,41
137,Customer_137,Male,Germany,29
138,Customer_138,Male,Germany,60
139,Customer_139,Male,USA,40
140,Customer_140,Male,UK,44
141,Customer_141,Female,Canada,62
142,Customer_142,Male,UK,54
143,Customer_143,Female,India,23
144,Customer_144,Female,Germany,18
145,Customer_145,Female,UK,23
146,Customer_146,Male,Canada,39
147,Customer_147,Male,India,58
148,Customer_148,Male,USA,41
149,Customer_149,Male,USA,42
150,Customer_150,Female,Canada,32
151,Customer_151,Male,India,43
152,Customer_152,Male,Germany,25
153,Customer_153,Male,UK,41
154,Customer_154,Male,India,55
155,Customer_155,Male,USA,23
156,Customer_156,Female,Canada,52
