OrderID,CustomerID,ProductID,OrderDate,Quantity,Price,Sales
1,2732,375,2023-08-21,4,96,384
2,2416,989,2023-09-21,4,164,656
3,759,534,2022-02-27,2,66,132
4,4343,151,2024-02-29,4,89,356
5,3117,218,2023-12-05,3,88,264
6,765,282,2022-11-26,3,441,1323
7,2423,305,2023-01-31,2,117,234
8,1315,684,2022-12-22,4,396,1584
9,4303,751,2023-04-21,5,335,1675
10,3996,662,2024-05-04,3,481,1443
11,4030,620,2024-03-02,4,227,908
12,3694,195,2023-04-01,5,144,720
13,3186,426,2023-06-16,5,339,1695
14,2867,564,2023-10-05,1,129,129
15,1318,913,2023-12-12,5,182,910
16,701,654,2023-06-19,5,213,1065
17,4384,64,2023-03-19,3,435,1305
18,2202,173,2022-12-21,5,274,1370
19,1594,704,2023-06-29,5,361,1805
20,3988,670,2023-01-06,3,215,645
21,4946,397,2022-02-15,1,340,340
22,4146,666,2022-02-04,1,199,199
23,1231,744,2022-01-22,4,488,1952
24,2613,160,2022-02-03,4,47,188
25,3138,430,2022-02-05,5,31,155
26,1909,994,2022-04-11,5,441,2205
27,1791,51,2023-05-01,4,296,1184
28,2929,215,2022-06-03,4,383,1532
29,1089,802,2022-02-10,5,222,1110
30,2382,620,2023-06-06,3,227,681
31,4128,884,2022-12-23,3,285,855
32,4964,716,2023-09-18,3,69,207
33,2946,727,2023-01-26,4,87,348
34,3570,540,2022-02-11,1,72,72
35,1166,275,2022-05-19,4,198,792
36,601,688,2023-04-10,3,362,1086
37,2026,866,2022-03-13,2,295,590
38,1585,584,2023-08-06,3,219,657
39,988,930,2022-04-20,2,316,632
40,1966,362,2023-09-11,3,350,1050
41,1440,400,2024-02-04,3,138,414
42,4616,583,2022-03-13,2,270,540
43,869,795,2024-01-07,3,211,633
44,2064,563,2023-10-08,2,198,396
45,1130,84,2022-02-15,2,166,332
46,4379,566,2023-01-24,4,171,684
47,4457,635,2023-08-15,1,406,406
48,3730,227,2022-04-22,4,449,1796
49,1935,17,2022-09-27,1,291,291
50,1077,220,2022-02-03,1,457,457
51,1640,584,2023-07-24,3,219,657
52,1393,452,2024-03-28,2,259,518
53,31,993,2022-08-05,1,447,447
54,704,626,2024-05-03,1,429,429
55,869,470,2023-12-08,1,493,493
56,233,351,2023-09-09,2,477,954
57,951,641,2024-06-13,5,255,1275
58,59,105,2023-04-11,1,483,483
59,2819,270,2023-03-16,2,333,666
60,3601,903,2023-02-08,2,315,630
61,3150,64,2022-09-26,5,435,2175
62,302,968,2022-05-06,4,392,1568
63,2851,904,2022-08-22,1,387,387
64,2945,950,2023-08-20,5,262,1310
65,1924,152,2024-05-10,5,163,815
66,317,439,2023-05-14,4,388,1552
67,1889,897,2022-07-20,1,433,433
68,2716,739,2023-09-08,5,200,1000
69,4786,489,2024-05-03,5,200,1000
70,1882,200,2022-08-11,4,279,1116
71,3899,581,2022-02-14,5,361,1805
72,4114,32,2023-11-02,3,438,1314
73,1179,1,2023-03-30,1,368,368
74,3856,706,2023-11-12,1,489,489
75,4874,938,2023-07-12,4,137,548
76,4456,975,2022-09-15,5,401,2005
77,332,746,2023-09-28,3,321,963
78,528,905,2022-05-20,3,99,297
79,2060,716,2022-11-16,3,69,207
80,1099,586,2022-02-12,5,339,1695
81,212,152,2022-02-20,2,163,326
82,1715,361,2024-04-30,4,267,1068
83,2689,370,2023-01-02,2,307,614
84,2331,659,2024-02-27,4,460,1840
85,3267,563,2023-02-01,1,198,198
86,1033,849,2022-08-17,1,401,401
87,1333,258,2023-02-14,5,102,510
88,1841,522,2022-08-13,4,488,1952
89,4687,965,2024-04-05,2,257,514
90,2139,103,2023-02-10,1,122,122
91,4552,646,2022-11-11,5,491,2455
92,4092,190,2022-07-22,1,231,231
93,444,578,2023-11-16,2,27,54
94,4175,264,2022-10-30,4,481,1924
95,1499,836,2023-08-17,3,376,1128
96,927,187,2022-01-31,1,250,250
97,623,818,2024-05-28,4,127,508
98,1480,863,2022-12-20,1,421,421
99,3038,804,2023-02-17,4,121,484
100,3386,648,2022-02-10,2,421,842
101,3319,607,2022-07-28,3,162,486
102,234,913,2022-10-01,1,182,182
103,1618,699,2022-04-06,5,309,1545
104,2692,505,2022-01-10,5,351,1755
105,2031,744,2024-02-16,1,488,488
106,387,846,2023-01-07,4,313,1252
107,1635,904,2023-10-29,4,387,1548
108,4134,378,2024-03-04,1,186,186
109,1185,345,2022-09-06,4,106,424
110,1968,206,2023-08-20,1,398,398
111,241,983,2022-01-29,2,448,896
112,562,811,2022-01-20,3,341,1023
113,2000,233,2022-11-25,4,438,1752
114,4902,63,2023-03-28,3,309,927
115,1930,849,2022-05-23,2,401,802
116,4901,369,2022-06-29,5,54,270
117,2780,780,2022-08-03,2,462,924
118,1676,340,2023-09-10,2,186,372
119,2516,866,2022-12-28,4,295,1180
120,1678,568,2022-12-02,5,50,250
121,4142,561,2022-05-09,3,61,183
122,3747,948,2023-02-07,5,484,2420
123,3357,907,2023-02-14,2,271,542
124,1652,539,2022-11-11,5,181,905
125,4178,958,2023-05-31,4,463,1852
126,3842,905,2024-04-09,4,99,396
127,2442,82,2022-08-08,2,467,934
128,4886,742,2023-11-28,1,267,267
129,595,548,2023-05-12,5,415,2075
130,2613,942,2024-06-12,3,71,213
131,4097,732,2022-07-07,2,65,130
132,1497,468,2022-10-18,1,274,274
133,3556,374,2023-11-06,5,468,2340
134,4862,234,2022-12-30,1,489,489
135,4767,157,2023-02-28,2,68,136
136,3359,964,2023-09-05,5,218,1090
137,1602,79,2022-06-04,1,93,93
138,915,297,2022-06-24,1,480,480
139,1845,236,2024-05-21,4,65,260
140,1996,540,2024-02-20,2,72,144
141,95,192,2022-11-06,3,413,1239
142,493,1000,2022-09-19,2,153,306
143,3070,664,2023-08-22,2,17,34
144,150,613,2022-06-10,4,122,488
145,1047,912,2023-10-11,3,451,1353
146,2804,790,2024-04-16,4,280,1120
147,399,47,2023-05-19,2,249,498
148,4951,529,2022-07-05,1,62,62
149,4477,897,2023-05-08,1,433,433
150,552,415,2022-02-07,2,136,272
151,295,345,2024-01-22,5,106,530
152,1144,524,2024-03-22,2,381,762
153,456,276,2024-04-15,2,167,334
154,1554,403,2023-06-28,5,467,2335
155,169,261,2024-06-17,5,303,1515
156,4806,254,2024-01-08,4,463,1852
157,1947,15,2023-09-10,1,410,410
158,254,537,2022-02-28,5,144,720
159,2377,163,2023-09-04,2,279,558
160,1321,108,2024-05-28,3,169,507
161,2884,823,2022-06-23,3,343,1029
162,3608,63,2023-10-15,4,309,1236
163,2126,243,2022-11-01,3,144,432
164,3497,303,2022-12-13,1,14,14
165,2241,963,2024-01-29,2,254,508
166,401,116,2022-03-10,3,21,63
167,2157,978,2023-05-05,1,124,124
168,2377,320,2023-05-05,3,124,372
169,363,22,2023-07-30,2,62,124
170,3939,464,2022-06-03,4,270,1080
171,3852,463,2023-07-15,1,335,335
172,3413,965,2023-12-24,5,257,1285
173,2307,490,2023-05-17,5,168,840
174,85,618,2022-08-24,3,92,276
175,1825,845,2022-08-08,5,117,585
176,3886,988,2022-07-13,1,53,53
177,308,842,2022-09-16,5,210,1050
178,4358,336,2023-05-10,1,40,40
179,1922,383,2023-04-29,5,428,2140
180,631,130,2022-05-29,4,430,1720
181,4776,126,2023-03-06,3,290,870
182,4961,370,2022-12-31,1,307,307
183,2372,740,2022-06-16,4,157,628
184,3301,371,2024-04-25,3,318,954
185,3668,409,2023-07-04,4,27,108
186,727,829,2022-01-28,5,496,2480
187,1649,261,2023-03-29,1,303,303
188,4313,28,2024-03-23,2,446,892
189,1270,849,2023-09-06,4,401,1604
190,4544,450,2022-03-03,2,341,682
191,319,527,2023-05-24,1,460,460
192,3476,183,2024-02-24,5,369,1845
193,2779,376,2022-06-17,5,379,1895
194,3059,806,2022-08-19,2,451,902
195,4135,989,2023-09-14,3,164,492
196,1603,919,2022-02-04,2,120,240
197,2257,210,2023-12-23,2,201,402
198,830,526,2023-11-28,2,261,522
199,856,32,2022-08-01,2,438,876
200,2649,44,2022-10-08,1,68,68
201,1859,454,2023-05-26,1,104,104
202,1103,348,2023-04-24,2,380,760
203,2482,886,2022-09-28,2,171,342
204,1821,116,2024-05-28,5,21,105
205,4938,635,2024-01-31,4,406,1624
206,2080,372,2023-10-21,1,375,375
207,3159,466,2022-06-28,3,356,1068
208,2441,995,2022-05-21,3,39,117
209,3685,442,2022-04-06,3,421,1263
210,1256,614,2022-12-17,4,297,1188
211,2958,4,2023-12-19,5,158,790
212,3652,371,2022-01-25,4,318,1272
213,2240,702,2024-02-07,2,437,874
214,1940,444,2023-12-24,5,451,2255
215,270,991,2022-05-31,5,87,435
216,4831,715,2023-12-24,2,30,60
217,4065,238,2022-03-22,3,315,945
218,4980,59,2024-04-06,3,198,594
219,3776,331,2023-05-07,1,25,25
220,1113,925,2024-05-13,3,240,720
221,649,915,2023-04-24,4,412,1648
222,1180,657,2022-11-03,5,311,1555
223,2143,516,2023-01-08,1,275,275
224,17,940,2023-09-13,1,271,271
225,117,772,2022-05-18,3,308,924
226,1546,955,2023-04-01,1,484,484
227,3152,396,2023-03-15,1,418,418
228,2694,753,2023-01-13,2,485,970
229,4090,303,2024-03-23,3,14,42
230,1277,903,2022-10-08,3,315,945
231,3241,981,2022-07-05,5,284,1420
232,4943,481,2023-08-26,4,143,572
233,3789,229,2022-03-05,1,211,211
234,372,140,2023-11-15,1,201,201
235,2808,839,2023-10-26,4,67,268
236,156,54,2024-01-24,4,359,1436
237,2662,442,2024-03-29,1,421,421
238,465,575,2022-11-15,4,169,676
239,4879,143,2023-10-26,2,491,982
240,4900,933,2024-03-26,4,488,1952
241,4316,568,2023-06-16,3,50,150
242,1774,585,2023-06-28,1,392,392
243,117,97,2023-11-05,1,327,327
244,2104,870,2022-02-21,4,439,1756
245,1375,592,2022-09-12,5,14,70
246,3204,799,2022-02-07,2,151,302
247,4404,271,2024-02-21,3,234,702
248,3547,130,2022-06-01,4,430,1720
249,3978,525,2023-04-28,5,122,610
250,4318,760,2024-06-03,4,489,1956
